INDEX,NAME,URL,REVIEW,Address,Location,Column1,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url2,WebsiteUrl,Award,FacilitiesAndServices
12,Lasarte,https://guide.michelin.com/en/catalunya/barcelona/restaurant/lasarte,"Still not familiar with the culinary world of Martín Berasategui? It's unusual to find spin-offs that manage to live up to the standards set by the original, but that is exactly what has happened in this incredible restaurant, named after the town in which this chef has built his empire.
Here, Paolo Casagrande, the protégé of this San Sebastian master, puts his own spin on the exquisite dishes first conceived by his mentor, showcasing them in a more avant-garde setting (undulating ceilings that mimic waves, ethereal lamps that resemble jellyfish, golden tones...). Whether you order à la carte menu or opt for one of the various tasting menus, your experience is taken to the next level if you sit at the Chef's Table, an exclusive space where you can watch the chefs in action through a large window.","Mallorca 259, Barcelona, 08008, Spain",Barcelona, Spain,€€€€,Creative,2.1622018,41.3936278,34934453242,https://guide.michelin.com/en/catalunya/barcelona/restaurant/lasarte,https://www.restaurantlasarte.com/,3 MICHELIN Stars,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access"
13,ABaC,https://guide.michelin.com/en/catalunya/barcelona/restaurant/abac,"Jordi Cruz's culinary style coherently combines tradition, modernity, flavour, produce, attitude and passion – the list goes on. A chef who conjures up flavours from his ""mental palate"", he has become a household name as a judge on Spanish television's MasterChef.
In his elegant restaurant overlooking a peaceful garden, he offers diners a unique gastronomic experience that constantly evolves in line with the produce made available by the changing seasons. His technical mastery never fails to impress as he dreams up appealing new takes on Mediterranean dishes, devises well-thought-out recipes and constantly references a whole host of flavours from around the world. The result is sensational harmonious creations!","Avenida del Tibidabo 1, Barcelona, 08022, Spain",Barcelona, Spain,€€€€,Creative,2.1367664,41.4103822,34933196600,https://guide.michelin.com/en/catalunya/barcelona/restaurant/abac,https://abacrestaurant.com/es,3 MICHELIN Stars,"Air conditioning,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card"
14,Cocina Hermanos Torres,https://guide.michelin.com/en/catalunya/barcelona/restaurant/cocina-hermanos-torres,"Once over the threshold, a fascinating experience awaits at Cocina Hermanos Torres – one that transports guests to a world where time has stood still thanks to the magical setting and highly delicate cuisine that takes us away from our day-to-day lives.
The Torres twins (Sergio and Javier) dreamt of incorporating their culinary microcosmos into the heart of the dining room, transforming a culinary experience into a true spectacle, hence the three cooking stations that dominate the centre of the room, around which tables are arranged beneath romantic ""clouds"" of light. Although à la carte is an option, the most popular request is for the superb tasting menu, a gourmet journey that extols the very best seasonal and local ingredients, using them in such a way to extract maximum impact and flavour with a minimum of intervention.","Taquígraf Serra 20, Barcelona, 08029, Spain",Barcelona, Spain,€€€€,Creative,2.1400168,41.3865273,34934100020,https://guide.michelin.com/en/catalunya/barcelona/restaurant/cocina-hermanos-torres,http://www.cocinahermanostorres.com,3 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access"
173,Moments,https://guide.michelin.com/en/catalunya/barcelona/restaurant/moments,"The fine dining restaurant of the Mandarin Oriental Barcelona hotel is run by Raül Balam, son of the famous chef Carme Ruscalleda. In addition to his own undeniable individual talent, there are various culinary traits he has inherited from her.
Dominated by amber and gold tones, the modern dining area has a special table from which you can see the chefs at work in the kitchen. The cuisine here showcases the underlying creativity of Catalan tradition, healthy Mediterranean produce, the intrinsic distinctiveness of each flavour... all brought together in a themed set menu that, they say, represents exactly the kind of food they want to be creating. This unique tasting menu, dubbed ""Disset"" (17), aligns its 17 dishes with each of the 17 United Nations Sustainable Development Goals for 2030!","Passeig de Gràcia 38-40, Barcelona, 08007, Spain",Barcelona, Spain,€€€€,Creative,2.1664829,41.3911693,34931518781,https://guide.michelin.com/en/catalunya/barcelona/restaurant/moments,https://www.mandarinoriental.es/,2 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Visa credit card,Wheelchair access"
174,Disfrutar,https://guide.michelin.com/en/catalunya/barcelona/restaurant/disfrutar,"This restaurant is characterised by the inventive spirit of the three chefs at the helm (Eduard Xatruch, Oriol Castro and Mateu Casañas), who have made creativity their watchword. Clearly their time working alongside Ferran Adrià at El Bulli really made an impression!
What's so special about this place? The food itself is highly innovative. Playing with shapes, textures and flavours, the chefs exhibit an indisputable craftsmanship. Moreover, a constant stream of innovations emerges from their laboratory, such as their ""solid bubbles"" or, even more remarkably, a ""living table"" that changes as the meal progresses (by reservation only). Two tasting menus are proposed: ""Classic"", comprising the signature dishes of the house, and ""Festival"", which showcases the latest seasonal creations. One of the pairing options is alcohol-free.","Villarroel 163, Barcelona, 08036, Spain",Barcelona, Spain,€€€€,Creative,2.1530369,41.3879756,34933486896,https://guide.michelin.com/en/catalunya/barcelona/restaurant/disfrutar,https://www.disfrutarbarcelona.com/,2 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access"
175,Angle,https://guide.michelin.com/en/catalunya/barcelona/restaurant/angle,"Located inside Hotel Cram, Angle is run under the baton of celebrity chef Jordi Cruz. The restaurant, which has a separate entrance to the hotel, has a foyer where diners can enjoy a drink and appetisers before heading up to the dining area on the first floor. This space has a contemporary look and exudes elegance and serenity with its striking floor lamps, wooden fittings and heavy curtains.
In the kitchen, the chefs follow the modern, creative blueprint set out by the award-winning chef, without any fuss, but rather with great care and a sense of freedom. Based on market produce, the cuisine is showcased in a tasting menu that features dishes from the three-starred ABaC and others conceived in house. All of it is in keeping with the restaurant's mission to create ""haute cuisine for everyday consumption"".","Aragó 214, Barcelona, 08011, Spain",Barcelona, Spain,€€€€,Modern Cuisine,2.1597015,41.3882671,34932167777,https://guide.michelin.com/en/catalunya/barcelona/restaurant/angle,https://anglebarcelona.com,2 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card,Wheelchair access"
178,Enoteca Paco Pérez,https://guide.michelin.com/en/catalunya/barcelona/restaurant/enoteca204150,"This restaurant is characterised by its bright interior, its decor dominated by white tones, and its commitment to drawing on local produce to tell a story – every effort has been made to create an authentic Mediterranean atmosphere.
Located in the luxurious Hotel Arts and presided over by award-winning chef Paco Pérez, this restaurant serves highly nuanced Mediterranean cuisine that is enriched with international influences and the occasional nod to Asian fusion cooking. The governing principles in the kitchen are underpinned by an utmost respect for seasonal produce and a clear bid to elevate traditional dining concepts such as ""mar y montaña"", which combines seafood with typical mountain ingredients (generally meat, ranging from sausage to game). The attentive front-of-house team pulls out all the stops to make you feel at home.","Marina 19, Barcelona, 08005, Spain",Barcelona, Spain,€€€€,Modern Cuisine,2.1969283,41.3867832,34934838108,https://guide.michelin.com/en/catalunya/barcelona/restaurant/enoteca204150,https://enotecapacoperez.com/,2 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card"
181,Cinc Sentits,https://guide.michelin.com/en/catalunya/barcelona/restaurant/cinc-sentits,"This place will have you spellbound! The restaurant has been designed to enhance the dining experience by means of its different spaces. These reflect both the roots and the culinary influences of chef Jordi Artal: the landscapes of La Torre de l'Espanyol (Tarragona), where his family used to produce wine and olive oil, the spirit of Barcelona, as captured in the minimalist design of the dining room, and the private area with its single Chef's Table overlooking the kitchen, from which diners enjoy the spectacle of the chefs at work.
The self-taught chef works only with produce from small, local suppliers to create his own highly personal take on modern Catalan cuisine. The two tasting menus feature dishes that are full of exquisite flavours and finesse, with textures and contrasts that never fail to impress.","Entença 60, Barcelona, 08015, Spain",Barcelona, Spain,€€€€,Creative,2.1521767,41.3784999,34933239490,https://guide.michelin.com/en/catalunya/barcelona/restaurant/cinc-sentits,http://www.cincsentits.com,2 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card,Wheelchair access"
805,COME by Paco Méndez,https://guide.michelin.com/en/catalunya/barcelona/restaurant/come-by-paco-mendez,"If you were once a regular visitor to the legendary Hoja Santa, you won’t want to miss COME by Paco Méndez, which now occupies the same premises and which, in a nod to the attachment Mexicans have with the Day of the Dead, could be described as a ""reborn Mexican restaurant"".
At the helm here is chef Paco Méndez, who has taken over the reins with his wife and head pastry chef Erinna and where he showcases "" the coming together of Mexican culture and cooking, Mediterranean ingredients and the legacy of El Bulli "". Discover the flavours of this Central American country (tacos, botanas, moles etc) from a modern perspective on the à la carte and a tasting menu offering two different options. This is accompanied by an extensive selection of typical Mexican drinks (micheladas, tequilas, mezcales etc)!","Avenida del Mistral 54, Barcelona, 08015, Spain",Barcelona, Spain,€€€€,"Mexican, Fusion",2.1540201,41.3760837,34938275977,https://guide.michelin.com/en/catalunya/barcelona/restaurant/come-by-paco-mendez,http://come.com.es/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card,Wheelchair access"
809,Dos Palillos,https://guide.michelin.com/en/catalunya/barcelona/restaurant/dos-palillos,"In this bustling restaurant, where the closeness of the tables is more reminiscent of Asian restaurants, discover a tapas concept that has been taken to another level, hence its view that “tapas are not just a way of eating, but a philosophy for life”.
Located just a few steps from Barcelona’s Museu d’Art Contemporani, Dos Palillos has a single counter at the entrance, where you can eat without booking ahead, and a second more gastronomic U-shaped counter around an open kitchen, enabling guests to observe the full preparation process. At this second attractive and elegant space, savour enticing tasting menus that showcase a fun fusion between Asian cooking (predominantly from Japan) and Iberian ingredients.","Elisabets 9, Barcelona, 08001, Spain",Barcelona, Spain,€€€€,Fusion,2.1686733,41.3833692,34933040513,https://guide.michelin.com/en/catalunya/barcelona/restaurant/dos-palillos,https://www.dospalillos.com/,1 MICHELIN Star,"Air conditioning,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card"
813,Aleia,https://guide.michelin.com/en/catalunya/barcelona/restaurant/aleia,"At Aleia, enjoy a fascinating experience that you’ll rarely find elsewhere, thanks to its combination of fine dining and architecture, and a location on the first floor of the famous Casa Fuster (nowadays the Hotel Casa Fuster), a jewel of Catalan Modernism designed in the early 20C by Lluís Domènech i Montaner.
In its bright dining room, with large columns flanking its stunning windows and an extraordinary undulating ceiling that is reminiscent of the titanium panels adorning the Guggenheim Museum in Bilbao, savour a single tasting menu (choose between the long or short option) with a creative and contemporary vision, on which Jerez-born chef Rafa de Bedoya, always under the supervision of the award-winning Paulo Airaudo, showcases consistency and flavour, alongside a few French and Asian flourishes, and with its foundation in locally sourced seasonal ingredients.","Paseo de Gràcia 132, Barcelona, 08008, Spain",Barcelona, Spain,€€€€,Creative,2.1580032,41.3979938,34935020041,https://guide.michelin.com/en/catalunya/barcelona/restaurant/aleia,http://www.aleiarestaurant.com,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Visa credit card"
