NAME,URL,REVIEW,Address,Location,Column1,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url2,WebsiteUrl,Award,FacilitiesAndServices
Restaurant Gordon Ramsay,https://guide.michelin.com/en/greater-london/london/restaurant/restaurant-gordon-ramsay,,"68-69 Royal Hospital Road, London, SW3 4HP, United Kingdom",London, United Kingdom,££££,French,-0.1621766,51.4854381,4.42074E+11,https://guide.michelin.com/en/greater-london/london/restaurant/restaurant-gordon-ramsay,https://www.gordonramsayrestaurants.com/restaurant-gordon-ramsay/,3 MICHELIN Stars,"Air conditioning,American Express credit card,Booking essential,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Visa credit card"
Hélène Darroze at The Connaught,https://guide.michelin.com/en/greater-london/london/restaurant/helene-darroze-at-the-connaught,"Every restaurant needs reinvention from time to time and the new look of Hélène Darroze’s London base shows that The Connaught isn’t afraid of moving forward. The room is now more feminine and less formal, considerably warmer and more relaxing. That being said, there’s still a well-drilled service team on hand to ensure everyone is looked after. 
When it comes to the cooking – created under the watchful eye of Hélène’s head chef – the focus remains steadfastly on the main ingredient; always of extraordinary quality, be it lobster from Cornwall or grouse from Wales. The accompanying flavours, including occasional international influences, are used to enhance or italicise it and this results in dishes that stay long in the memory. The signature Baba dessert with a choice of Armagnacs aged by her brother Marc is a must.","Carlos Place, London, W1K 2AL, United Kingdom",London, United Kingdom,££££,Modern Cuisine,-0.1492905,51.510188,4.42031E+11,https://guide.michelin.com/en/greater-london/london/restaurant/helene-darroze-at-the-connaught,https://www.the-connaught.co.uk/restaurants-bars/helene-darroze-at-the-connaught/,3 MICHELIN Stars,"Air conditioning,American Express credit card,Booking essential,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Visa credit card"
CORE by Clare Smyth,https://guide.michelin.com/en/greater-london/london/restaurant/core-by-clare-smyth,"It’s not just the food that makes a restaurant and here at Core, Clare Smyth really focuses on the whole experience. From the moment you arrive her superb team will put you at ease with their warm welcome and natural pride in providing some of the smoothest, most attentive service around. The room is wonderfully elegant, and larger parties can book the long table down a couple of steps, right beside the kitchen.
Go for one of the tasting menus: ‘Core Classics’, which features dishes that Clare has continually refined over the years, or ‘Core Seasons’, which sees more contemporary constructions with a luxurious edge. The strength of the kitchen lies in its ability to create modern dishes that deliver superb flavours and textures but in a restrained, understated style. The terrific wine flights enhance an already outstanding experience.","92 Kensington Park Road, London, W11 2PN, United Kingdom",London, United Kingdom,££££,Modern British,-0.2030649,51.5126689,4.42039E+11,https://guide.michelin.com/en/greater-london/london/restaurant/core-by-clare-smyth,https://www.corebyclaresmyth.com/,3 MICHELIN Stars,"Air conditioning,American Express credit card,Booking essential,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card"
Sketch (The Lecture Room & Library),https://guide.michelin.com/en/greater-london/london/restaurant/sketch-the-lecture-room-library,"There are few more joyously colourful and lavishly decorated restaurants than The Lecture Room & Library. As you’re whisked past the braided rope and up the stairs to the first floor of Mourad Mazouz and Pierre Gagnaire’s 18C house of fun you’ll feel your expectations rise with every step – and once seated in your eminently comfortable armchair, those hopes will be met by an unfailingly attentive team.
The highly organised kitchen does an extraordinary job in executing original dishes bearing all the Pierre Gagnaire hallmarks: the main ‘plate’ comes surrounded by a number of complementary dishes and before long, your table is covered with an assortment of vessels, with each element excelling in terms of structure, composition, elegance and, above all, flavour. Completing the experience is a bubbly sommelier, who has outstanding knowledge and is an ambassador for wine regions old and new.","9 Conduit Street, London, W1S 2XG, United Kingdom",London, United Kingdom,££££,Modern French,-0.1415369,51.5126775,4.42077E+11,https://guide.michelin.com/en/greater-london/london/restaurant/sketch-the-lecture-room-library,https://sketch.london/,3 MICHELIN Stars,"Air conditioning,American Express credit card,Booking essential,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Visa credit card"
Alain Ducasse at The Dorchester,https://guide.michelin.com/en/greater-london/london/restaurant/alain-ducasse-at-the-dorchester,"Coco Chanel once opined that “Luxury must be comfortable, otherwise it is not luxury”, and at Alain Ducasse’s elegant London outpost, the charming and professional team patently understand that what is of utmost importance is making the diner feel at ease.
Ducasse is never one to stand still so, although you’ll find many of the much-loved signatures on the menu, there are also plenty of new dishes to keep things fresh. A nice touch is that diners can, should they wish, pick two, three or four dishes off the tasting menu in order to effectively create their own à la carte. 
The kitchen sources the very best of British produce and dishes are well-balanced and visually striking with bold, generous flavours that live long in the memory. Sauces are a highlight, there are some amazing wine pairings – and it’s hard to resist the signature Rum Baba.","Park Lane, London, W1K 1QA, United Kingdom",London, United Kingdom,££££,French,-0.152575,51.5073381,4.42076E+11,https://guide.michelin.com/en/greater-london/london/restaurant/alain-ducasse-at-the-dorchester,https://www.alainducasse-dorchester.com/,3 MICHELIN Stars,"Air conditioning,American Express credit card,Booking essential,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Visa credit card,Wheelchair access"
Le Gavroche,https://guide.michelin.com/en/greater-london/london/restaurant/le-gavroche,"Le Gavroche’s longevity is legendary. Opened in 1967, this iconic restaurant has been a key player in the post-war culinary history of the UK and, as you descend the stairs into the intimate, clubby room, you’ll be transported back in time. It might have a formal air but it also has a comforting feel, and it’s a delight to see Michel Roux Jnr in his element, touring the tables and chatting to diners as he continues the family legacy.
The menu is a roll-call of refined, sophisticated French classics that delight and satisfy in equal measure – the soufflé Suissesse is renowned and luxury items lead the way, with the likes of coquilles St Jacques, turbot and lobster; if it all sounds so good that you simply can’t decide, go for the ‘Menu Exceptionnel’. The sommelier’s recommendations are spot-on and the cheese trolley is one of the best around.","43 Upper Brook Street, London, W1K 7QR, United Kingdom",London, United Kingdom,££££,French,-0.1552575,51.5112997,4.42074E+11,https://guide.michelin.com/en/greater-london/london/restaurant/le-gavroche,https://www.le-gavroche.co.uk/,2 MICHELIN Stars,"Air conditioning,American Express credit card,Booking essential,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Visa credit card"
La Dame de Pic London,https://guide.michelin.com/en/greater-london/london/restaurant/la-dame-de-pic,"Anne-Sophie Pic’s London outpost is a charmingly run restaurant situated in the impressive Beaux-Arts style Four Seasons Hotel; an airy, high-ceilinged room with lots of white, plenty of light and some attractive modern art.

Cooking is rooted in classic French techniques yet delivered in a light, modern manner and dishes are elegant, refined and original, with tremendous attention given to their finer details. The kitchen source excellent quality produce and the delicate combinations of these ingredients are exciting and intuitive, with no superfluous elements on the plate. The well-structured wine list highlights wines from the Rhône Valley – home of restaurant Maison Pic, the Valence institution owned by the Pic family.","10 Trinity Square, London, EC3N 4AJ, United Kingdom",London, United Kingdom,££££,"Modern French, French Contemporary",-0.0779535,51.5101629,4.42033E+11,https://guide.michelin.com/en/greater-london/london/restaurant/la-dame-de-pic,https://www.ladamedepiclondon.co.uk/,2 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Valet parking,Visa credit card,Wheelchair access"
Da Terra,https://guide.michelin.com/en/greater-london/london/restaurant/da-terra,"Da Terra sits within an impressive Victorian hotel and, in contrast to the grandeur of the exterior, has quite an understated, modern look. Kick the night off with a cocktail in the bar while you look forward to the memorable, multi-course surprise menu to come. 
Chef Rafael Cagali hails from Brazil and his great grandfather was from Italy, and these influences, along with time spent working in Spain, come together in skilfully crafted, highly original dishes founded on Brazilian traditions. Colours burst through, presentation is striking, and the menu builds beautifully as you move from course to course, eagerly awaiting the next captivating combination of flavours. Dishes are delivered by the chefs with a detailed and passionate dialogue, and the wine matches are thoughtfully chosen, with admirable breadth and originality.","8 Patriot Square, London, E2 9NF, United Kingdom",London, United Kingdom,££££,Creative,-0.05607,51.530411,4.42071E+11,https://guide.michelin.com/en/greater-london/london/restaurant/da-terra,https://daterra.co.uk/,2 MICHELIN Stars,"Air conditioning,American Express credit card,Booking essential,Credit card / Debit card accepted,Mastercard credit card,Restaurant offering vegetarian menus,Visa credit card"
Ikoyi,https://guide.michelin.com/en/greater-london/london/restaurant/ikoyi,"In a city of innovation, Ikoyi is a true original. Chef and founder Jeremy Chan has been steadily establishing close relationships with specialist growers and farmers in the UK to ensure delivery of the finest quality ingredients for his unique surprise menus – and that includes 100% organic meats, biodynamic vegetables and fish from British waters dispatched using the Ikejime method.
His passion for West African spices then brings them all together in bold, balanced and inventive dishes full of controlled intensity and free of extraneous theatricals. Beef from Cornwall often features in various guises and will be one of the highlights of the meal, along with the delicious smoked jollof rice. The passion of the service team is palpable.","180 Strand, London, WC2R 1EA, United Kingdom",London, United Kingdom,££££,Creative,-0.11511,51.51242,4.42036E+11,https://guide.michelin.com/en/greater-london/london/restaurant/ikoyi,https://ikoyilondon.com/,2 MICHELIN Stars,"Air conditioning,American Express credit card,Booking essential,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Visa credit card,Wheelchair access"
Story,https://guide.michelin.com/en/greater-london/london/restaurant/story,"The setting – on an island in the middle of two roads – may be slightly unusual but that’s all part of the experience and, once seated, you’ll enjoy being ensconced in your own little bubble watching the world go by.
Tom Sellers’ menus take on a tasting format and the visually impressive dishes are crafted with care and precision; ingredients are at the luxurious end of the scale and modern techniques bring out the best in every item. Imaginative, playful touches come through in dishes such as the bread and dripping, where your candle melts to provide the dip; the ‘Storeo’ – a savoury version of an Oreo; and the ‘Paddington Bear’ pre-dessert of pain perdu and citrus marmalade.
The menu is tailored so that returning guests receive a different experience from first-timers, so be sure to ask if there’s something you loved on your last visit and want to have again.","199 Tooley Street, London, SE1 2JX, United Kingdom",London, United Kingdom,££££,Modern Cuisine,-0.077787,51.5028085,4.42072E+11,https://guide.michelin.com/en/greater-london/london/restaurant/story,https://restaurantstory.co.uk/,2 MICHELIN Stars,"Air conditioning,American Express credit card,Booking essential,Credit card / Debit card accepted,Mastercard credit card,Visa credit card,Wheelchair access"
