INDEX,NAME,URL,REVIEW,Address,Location,Column1,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url2,WebsiteUrl,Award,FacilitiesAndServices
55,Chef's Table at Brooklyn Fare,https://guide.michelin.com/en/new-york-state/new-york/restaurant/chef-s-table-at-brooklyn-fare,"Wandering the aisles of a supermarket in search of the entrance merely adds to the feeling of discovery. There are tables but sitting at the walnut counter watching the team is an integral part of the experience. Everyone is served at once by a smart black-suited team who prove that when service is really good, you barely notice it.
Chef César Ramirez’s cooking is an almost subtractive form of cuisine. The 13 or so small but perfectly formed dishes confirm a chef at the height of his powers. Nothing is showy or extraneous here. It’s just an absolute meticulousness in ensuring that the key ingredient, whether that’s a Scottish langoustine or A5 Wagyu beef from Miyazaki, delivers its true essence. The sauces, which are of extraordinary depth, also play their part.","431 W. 37th St., New York, 10018, USA",New York, USA,$$$$,Contemporary,-73.9964997,40.7560823,17182430050,https://guide.michelin.com/en/new-york-state/new-york/restaurant/chef-s-table-at-brooklyn-fare,https://www.brooklynfare.com/,3 MICHELIN Stars,"Air conditioning,Counter dining,Credit card / Debit card accepted,Particularly interesting wine list,Wheelchair access"
56,Per Se,https://guide.michelin.com/en/new-york-state/new-york/restaurant/per-se,"An experience at Thomas Keller’s Per Se is one to be savored, recounted and remembered. Despite stellar views and a clever design allowing each table a view, your attention won’t stray from the plate. Such is the appeal of the place.
There are two menus, one of which is vegetarian and may highlight a playful twist on borscht, with red beet agnolotti and crème fraîche. Both menus end in a grand dessert finale, like seasonal confections as well as such classics as a cappuccino semifreddo served with brioche donuts. They do offer supplements using lavish ingredients, but unless you’re richer than Croesus, you needn’t consider them. Just put yourself in the chef's hands and relish a meal that is balanced, varied and as seasonal as it gets.","10 Columbus Circle, New York, 10019, USA",New York, USA,$$$$,"Contemporary, French",-73.9825882,40.7680545,12128239335,https://guide.michelin.com/en/new-york-state/new-york/restaurant/per-se,https://www.thomaskeller.com/perseny,3 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access"
57,Le Bernardin,https://guide.michelin.com/en/new-york-state/new-york/restaurant/le-bernardin,"When the definitive history of NYC's dining scene is written, Le Bernardin will have a chapter all to itself. Maguy Le Coze and Eric Ripert’s icon has been entertaining the city’s movers and shakers for over 20 years and its popularity remains undimmed.
As soon as you step inside you are enveloped in a warm embrace. Lunch is busy with those who know what they want and trust this well-oiled machine to deliver it in the time they have. Come at dinner for a more languid affair. The menu is divided into headings of “Almost raw,” “Barely touched” and “Lightly cooked,” but don’t be fooled, these product-driven items have considerable depth. Seafood restaurants have no hiding place when it comes to cooking fish or crustaceans and this kitchen always hits its marks—whether that’s poaching halibut, pan-roasting monkfish, baking striped bass or searing tuna.
While seafood remains Ripert's passion, his vegetarian tasting menu makes waves with dishes like the Himalayan morel, spring pea and fava bean casserole or the warm artichoke panaché with vegetable risotto and Périgord black truffle vinaigrette. Bid this spread adieu over coconut mousse with shavings of caramelized pineapple.","155 W. 51st St., New York, 10019, USA",New York, USA,$$$$,Seafood,-73.98223,40.76177,12125541515,https://guide.michelin.com/en/new-york-state/new-york/restaurant/le-bernardin,https://www.le-bernardin.com/,3 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access"
58,Masa,https://guide.michelin.com/en/new-york-state/new-york/restaurant/masa,"To taste what may be the continent’s best sushi, experience the contemplative and very exclusive ceremony of Chef Masa Takayama’s omakase. Everything here carries a certain weight, from the heavy wooden door to the bill. 
Attention to detail is unsurpassed and at times it may seem like a bit much, but a reverential spirit is part of your meal here. Service displays the same smooth grace, with servers at the ready.
Awaken the palate with a sweet chunk of hairy crab meat dressed in citrusy yuzu beneath creamy tomalley. This may be followed by the chef’s signature glass coupe of minced toro and a very fine—and generous—pile of Osetra caviar. Maine uni is wondrous, served in its shell with caramelized custard and paper-thin white truffle.","10 Columbus Circle, New York, 10019, USA",New York, USA,$$$$,"Japanese, Sushi",-73.98234,40.76819,12128239800,https://guide.michelin.com/en/new-york-state/new-york/restaurant/masa,https://www.masanyc.com/,3 MICHELIN Stars,"Air conditioning,Counter dining,Credit card / Debit card accepted,Notable sake list,Wheelchair access"
59,Eleven Madison Park,https://guide.michelin.com/en/new-york-state/new-york/restaurant/eleven-madison-park,"Chef Daniel Humm presides over this temple of modern elegance with a zealous dedication to masterful precision. Nothing is out of place and everything is custom made, from the staff’s suits to the handblown water vases.
The plant-based menu is a bold vision of luxury dining. The freshly baked, delicately crisped vegan roll presented with faux butter is a magical creation. A quenelle of tonburi, mimicking caviar, plated with horseradish cream and accompanied by a radish tostada with a swipe of pumpkin seed butter is simply stunning. Toothsome braised seitan, wrapped in spinach and dressed with morels, is amplified with luscious sauce work. 
Desserts, perhaps a frozen cherry blossom and rose confection dressed with strawberries, are equally accomplished.","11 Madison Ave., New York, 10010, USA",New York, USA,$$$$,"Contemporary, Innovative",-73.9872414,40.7415543,12128890905,https://guide.michelin.com/en/new-york-state/new-york/restaurant/eleven-madison-park,https://www.elevenmadisonpark.com/,3 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Visa credit card,Wheelchair access"
326,Jean-Georges,https://guide.michelin.com/en/new-york-state/new-york/restaurant/jean-georges,"The longevity of Chef Jean-Georges Vongerichten’s flagship is  be due to many factors—a sumptuous setting, a discreet aura and superior French cuisine. Like walking through Business on your way to First Class, you have to pass through buzzy Nougatine to get here. Low-slung chairs and large tables mean you need a certain confidence in your conversational delivery if you wish to entertain the whole table.
Dishes showcase everything from attention to detail and impeccable products to thoughtful garnishes and nuanced flavors. The omnivore menu is also appealingly versatile thanks to contemporary accents and classic techniques. Picture charred beets with tamarind and saffron or buttery Wagyu with crispy potato and black truffle to get those taste buds going.","1 Central Park West, New York, 10023, USA",New York, USA,$$$$,"Contemporary, French Contemporary",-73.98155,40.76907,12122993900,https://guide.michelin.com/en/new-york-state/new-york/restaurant/jean-georges,https://www.jean-georgesrestaurant.com/,2 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Valet parking,Visa credit card,Wheelchair access"
327,Jungsik,https://guide.michelin.com/en/new-york-state/new-york/restaurant/jungsik,"Jungsik's ""New Korean"" cuisine leans westwards. Indeed, some of this kitchen's wonderful sauces wouldn’t be out of place at a grand French table, but what is most impressive here is that the Korean elements of the dishes seem to raise them to another level. Bibimbap composed with gochujang, crispy quinoa and tender Wagyu beef tartare will live long in the memory; while the branzino served simply with white kimchi shows that this is also a kitchen with the utmost confidence in the quality of its ingredients.
This is cooking that is original, impeccably executed and enormously satisfying. It’s the sort of food that makes you involuntarily nod to yourself while you’re eating. The space is cool, crisp and elegant; the service team sharp, keen and organized.","2 Harrison St., New York, 10013, USA",New York, USA,$$$$,"Korean, Contemporary",-74.00911,40.718685,12122190900,https://guide.michelin.com/en/new-york-state/new-york/restaurant/jungsik,https://www.jungsik.com/,2 MICHELIN Stars,"Air conditioning,Credit card / Debit card accepted,Particularly interesting wine list,Wheelchair access"
328,The Modern,https://guide.michelin.com/en/new-york-state/new-york/restaurant/the-modern,"The Modern is designed to capture the iconic feel of the MoMA in which it is housed. Art enthusiasts can't help ogling at its glorious surrounds; while excellent acoustics facilitating quiet conversations ensure a steady stream of couples and globe-trotters. The kitchen is state of the art, so for a truly special experience book the chef's table inside. The staff perform a veritable ballet as they present diners with such appealingly nuanced dishes as a seed cracker with aged cheddar and butternut squash butter; or eggs on eggs, starring none other than soft-boiled eggs with sturgeon caviar. Turbot roasted on the bone may then arrive alongside rich parmesan cream.
Nurse a digestif—and marvel at the timeless sculpture garden view —for serenity embodied.","9 W. 53rd St., New York, 10019, USA",New York, USA,$$$$,Contemporary,-73.97628,40.76106,12123331220,https://guide.michelin.com/en/new-york-state/new-york/restaurant/the-modern,https://www.themodernnyc.com/,2 MICHELIN Stars,"Air conditioning,Credit card / Debit card accepted,Particularly interesting wine list,Wheelchair access"
329,Ko,https://guide.michelin.com/en/new-york-state/new-york/restaurant/ko,"Ko has been the pride and joy of David Chang's culinary empire. Open since 2014 and tucked into an East Village alley, it begins a new chapter under the stewardship of Chef Esther Ha. Some things remain unchanged, like the upbeat soundtrack, sleek counter staged around a kitchen with nowhere to hide and a vibe so relaxed that diners might even sing along.
Favored dishes, like the chickpea hozon with sea urchin, are still here and still excellent. Chef Ha  carries the torch forward though, bringing new ideas to the fore—aged strip loin with onion béarnaise and aged cheddar is a cheeky twist on the cheeseburger. Smoked onion soufflé is exemplary, while bonito ice cream with sweet potato skins reflects a bold brand of cooking—a cornerstone of this kitchen.","8 Extra Pl., New York, 10003, USA",New York, USA,$$$$,Contemporary,-73.9916056,40.7246476,12125000831,https://guide.michelin.com/en/new-york-state/new-york/restaurant/ko,https://momofuku.com/,2 MICHELIN Stars,"Air conditioning,Counter dining,Credit card / Debit card accepted,Particularly interesting wine list,Terrace"
330,Gabriel Kreuther,https://guide.michelin.com/en/new-york-state/new-york/restaurant/gabriel-kreuther,"Distinctively housed at the base of the Grace building, this modern dining room happens to be perfect for celebrating special occasions. 
Dishes reflect global sensibilities with a strong creative edge, as in the langoustine tartare topped with a crispy tuile and enriched with cauliflower cream. Foie gras arrives in myriad guises, perhaps as a seared lobe as rich as custard, surrounded by roasted quince, chestnuts and vanilla gastrique. Old-school luxuries extend right through to the cheese trolley. The cocktail list is dedicated to the history of Bryant Park across the street, while as an homage to the eponymous chef’s Alsatian heritage, the wine selection prominently features rieslings, pinot blancs and gewürztraminers.","41 W. 42nd St., New York, 10036, USA",New York, USA,$$$$,"Contemporary, Alsatian",-73.982025,40.75397,12122575826,https://guide.michelin.com/en/new-york-state/new-york/restaurant/gabriel-kreuther,https://www.gknyc.com/,2 MICHELIN Stars,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access"
